Minute,Hour,NO2,O3,Region,Location
2023-07-19 01:40:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-19 01:45:00,1AM,27.87,0.0,Tangerang,Panunggangan Utara
2023-07-19 01:50:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-19 01:55:00,1AM,27.72,0.0,Tangerang,Panunggangan Utara
2023-07-19 02:00:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-19 02:05:00,2AM,25.21,0.0,Tangerang,Panunggangan Utara
2023-07-19 02:10:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-19 02:15:00,2AM,22.68,0.0,Tangerang,Panunggangan Utara
2023-07-19 02:20:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-19 02:25:00,2AM,21.51,0.0,Tangerang,Panunggangan Utara
2023-07-19 02:30:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-19 02:35:00,2AM,19.76,0.0,Tangerang,Panunggangan Utara
2023-07-19 02:40:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-19 02:45:00,2AM,18.25,0.0,Tangerang,Panunggangan Utara
2023-07-19 02:50:00,2AM,,,Tangerang,Panunggangan Utara
2023-07-19 02:55:00,2AM,17.75,0.0,Tangerang,Panunggangan Utara
2023-07-19 03:00:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-19 03:05:00,3AM,16.42,0.0,Tangerang,Panunggangan Utara
2023-07-19 03:10:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-19 03:15:00,3AM,15.36,0.0,Tangerang,Panunggangan Utara
2023-07-19 03:20:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-19 03:25:00,3AM,14.84,0.0,Tangerang,Panunggangan Utara
2023-07-19 03:30:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-19 03:35:00,3AM,12.91,0.0,Tangerang,Panunggangan Utara
2023-07-19 03:40:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-19 03:45:00,3AM,12.15,0.0,Tangerang,Panunggangan Utara
2023-07-19 03:50:00,3AM,,,Tangerang,Panunggangan Utara
2023-07-19 03:55:00,3AM,11.55,0.0,Tangerang,Panunggangan Utara
2023-07-19 04:00:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-19 04:05:00,4AM,11.12,0.0,Tangerang,Panunggangan Utara
2023-07-19 04:10:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-19 04:15:00,4AM,10.64,0.0,Tangerang,Panunggangan Utara
2023-07-19 04:20:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-19 04:25:00,4AM,10.81,0.0,Tangerang,Panunggangan Utara
2023-07-19 04:30:00,4AM,,,Tangerang,Panunggangan Utara
2023-07-19 04:35:00,4AM,11.19,0.0,Tangerang,Panunggangan Utara
